id,probability_maraud,successful_mating,foraging_hrs,staying_hrs,repairing_hrs,marauding_events,marauding_hrs,traveling_hrs,rnd_seed,directory,mar_attempts,mate_attempts,strategy,repair,dimension
0,0,10,70.03934295177585,267.5932339292951,22.595172875266698,0,0,0,0,D_pmar=0.027_dim=1000_repair_1.5,"[['1' '9.04661526724832' 'present']
 ['1' '44.54316316370498' 'present']
 ['1' '53.733148544127374' 'marauded']
 ['1' '73.97759463679915' 'present']
 ['1' '94.0700694954887' 'marauded']
 ['1' '100.01213324073106' 'marauded']
 ['1' '107.71847780863972' 'present']
 ['1' '110.03116745544787' 'present']
 ['1' '122.3075113391647' 'present']
 ['1' '123.10609363831725' 'present']
 ['1' '124.13087040756959' 'marauded']
 ['1' '132.2432213238225' 'present']
 ['1' '139.27433674901005' 'marauded']
 ['1' '139.6254388534197' 'presentdestroyed']
 ['1' '141.65332249486625' 'marauded']
 ['1' '142.69392316842055' 'destroyed']
 ['1' '144.05716346301475' 'marauded']
 ['1' '145.08056395186904' 'destroyed']
 ['1' '145.1990377232929' 'presentdestroyed']
 ['1' '148.4845053090394' 'present']
 ['1' '167.5541928117985' 'present']
 ['1' '168.13100432888913' 'present']
 ['1' '169.9138890948694' 'marauded']
 ['1' '172.41268352224859' 'present']
 ['1' '174.17887519998317' 'present']
 ['1' '176.05604846049695' 'present']
 ['1' '182.8493562076751' 'present']
 ['1' '214.28991910489054' 'present']
 ['1' '221.8605347672814' 'marauded']
 ['1' '225.35533396047583' 'present']
 ['1' '225.61499645297778' 'present']
 ['1' '225.90789792243913' 'present']
 ['1' '227.27863249690725' 'present']
 ['1' '232.5700288896967' 'present']
 ['1' '236.8962854370753' 'present']
 ['1' '243.0309365165165' 'present']
 ['1' '245.5910731653849' 'present']
 ['1' '249.42880036891586' 'present']
 ['1' '260.17634448671566' 'marauded']
 ['1' '276.0725297644782' 'present']
 ['1' '282.89556649372935' 'present']
 ['1' '286.4686117621059' 'marauded']
 ['1' '296.79377177286716' 'marauded']
 ['1' '298.20428210434375' 'presentdestroyed']
 ['1' '311.58827355881857' 'present']
 ['1' '311.9704348826918' 'present']
 ['1' '317.6438998982457' 'marauded']
 ['1' '319.6980341516559' 'present']
 ['1' '320.603184484001' 'present']
 ['1' '332.539229229694' 'present']
 ['1' '334.23596606129746' 'present']
 ['1' '341.64934734132896' 'marauded']
 ['1' '343.6680498586458' 'present']
 ['1' '346.3379934319562' 'present']
 ['1' '349.51452570460674' 'present']
 ['1' '355.68823696245596' 'present']]","[['F9' '46.56200866856596' 'mated']
 ['F16' '75.13705513923938' 'mated']
 ['F0' '121.69151567055303' 'mated']
 ['F8' '142.89678457058707' 'destroyed']
 ['F6' '164.60614234365926' 'absent']
 ['F11' '173.38648763372828' 'mated']
 ['F5' '176.4455481697191' 'mated']
 ['F7' '186.0185551226039' 'mated']
 ['F6' '188.65243863995556' 'mated']
 ['F13' '216.08922612677387' 'mated']
 ['F17' '241.73944153666497' 'mated']
 ['F15' '297.10968928334097' 'destroyed']
 ['F15' '321.1559855796373' 'absent']
 ['F15' '345.2022818759336' 'mated']]",0.027,1.5,1e3
1,0.027,8,68.01773822015477,288.04439160624855,0,14,1.4000000000000001,2.592592592592592,0,D_pmar=0.027_dim=1000_repair_1.5,[],"[['F3' '36.93015596898388' 'mated']
 ['F10' '87.8646269385855' 'mated']
 ['F14' '137.11976417485852' 'mated']
 ['F4' '148.43691185388215' 'mated']
 ['F8' '154.91993271873523' 'mated']
 ['F6' '176.6292904918074' 'absent']
 ['F12' '275.61364648943277' 'mated']
 ['F2' '286.41860785299883' 'mated']
 ['F15' '309.1328374314891' 'absent']
 ['F15' '333.1791337277854' 'absent']
 ['F1' '363.5046007150201' 'mated']]",0.027,1.5,1e3
0,0,11,72.69493706365726,270.0567848584464,17.42521789330177,0,0,0,1,D_pmar=0.027_dim=1000_repair_1.5,"[['1' '5.723225923150508' 'present']
 ['1' '6.279500973449971' 'present']
 ['1' '10.01284353021606' 'present']
 ['1' '12.990136375079482' 'present']
 ['1' '31.84581514068857' 'marauded']
 ['1' '35.12796768588129' 'marauded']
 ['1' '62.32193702442377' 'present']
 ['1' '62.36823332072006' 'present']
 ['1' '77.80894520807152' 'present']
 ['1' '78.41537231666828' 'present']
 ['1' '81.63299923698845' 'present']
 ['1' '91.3696797923379' 'present']
 ['1' '91.62464328912198' 'present']
 ['1' '94.87584895457204' 'present']
 ['1' '105.7138937369809' 'present']
 ['1' '112.45438694416943' 'present']
 ['1' '121.35812911425289' 'present']
 ['1' '121.76963907422933' 'present']
 ['1' '138.48061940377463' 'marauded']
 ['1' '140.5792987499443' 'presentdestroyed']
 ['1' '161.39538581226483' 'present']
 ['1' '168.59857323938223' 'marauded']
 ['1' '169.50342750546164' 'presentdestroyed']
 ['1' '176.10135528170227' 'marauded']
 ['1' '177.68367674286512' 'presentdestroyed']
 ['1' '183.46003150161255' 'present']
 ['1' '189.14553745811946' 'present']
 ['1' '189.53343723533726' 'present']
 ['1' '195.9981117198807' 'present']
 ['1' '201.13566572676325' 'present']
 ['1' '207.25274194330885' 'marauded']
 ['1' '207.39903823960515' 'presentdestroyed']
 ['1' '224.32410266442568' 'present']
 ['1' '239.78983443911616' 'present']
 ['1' '242.790260152875' 'present']
 ['1' '248.3777712074949' 'present']
 ['1' '266.6247156297895' 'marauded']
 ['1' '267.56422893403726' 'presentdestroyed']
 ['1' '274.88109049503106' 'present']
 ['1' '280.04020211456594' 'present']
 ['1' '282.26721794773397' 'present']
 ['1' '282.3135142440303' 'present']
 ['1' '300.1008979397266' 'marauded']
 ['1' '304.5699386729501' 'present']
 ['1' '317.37639295449657' 'present']
 ['1' '325.4543757387154' 'present']
 ['1' '329.6342988777143' 'present']
 ['1' '331.34346931279885' 'present']
 ['1' '337.5620630954921' 'present']
 ['1' '340.5638174825657' 'marauded']
 ['1' '344.1481489823406' 'marauded']
 ['1' '345.37943042490167' 'presentdestroyed']
 ['1' '347.44532053674567' 'present']
 ['1' '356.6328919142088' 'present']
 ['1' '358.5687375448586' 'marauded']
 ['1' '358.8711925349611' 'destroyed']]","[['F8' '81.85354263047434' 'mated']
 ['F9' '89.85114582772403' 'absent']
 ['F9' '113.89744212402033' 'mated']
 ['F15' '138.0312763012373' 'mated']
 ['F3' '138.87777214563903' 'destroyed']
 ['F11' '164.45284420451182' 'mated']
 ['F1' '164.62452145351065' 'mated']
 ['F10' '167.82831638428604' 'mated']
 ['F13' '177.15985144821022' 'destroyed']
 ['F16' '189.53768939274778' 'mated']
 ['F5' '210.5311706318628' 'mated']
 ['F2' '234.66105500787043' 'mated']
 ['F12' '239.77284160930554' 'mated']
 ['F6' '262.91041579345074' 'absent']
 ['F7' '295.4509273343214' 'mated']]",0.027,1.5,1e3
1,0.027,7,72.21512390466172,284.3395053412005,0,11,1.0999999999999999,2.592592592592592,1,D_pmar=0.027_dim=1000_repair_1.5,[],"[['F14' '59.05779031814617' 'mated']
 ['F9' '77.82799767957587' 'absent']
 ['F9' '101.87429397587218' 'absent']
 ['F0' '112.07209384087935' 'mated']
 ['F3' '126.85462399749088' 'absent']
 ['F3' '150.90092029378718' 'mated']
 ['F17' '178.42399631393178' 'mated']
 ['F13' '189.18299959635837' 'mated']
 ['F5' '198.50802248371465' 'absent']
 ['F2' '222.63790685972228' 'absent']
 ['F6' '274.9335639415989' 'mated']
 ['F4' '340.96748479125245' 'mated']]",0.027,1.5,1e3
0,0,9,73.798120259409,272.0369342161625,14.308474996788856,0,0,0,2,D_pmar=0.027_dim=1000_repair_1.5,"[['1' '7.456987536340367' 'marauded']
 ['1' '12.24786389832113' 'present']
 ['1' '38.88882743431651' 'marauded']
 ['1' '42.89105206221357' 'marauded']
 ['1' '46.58056123685299' 'present']
 ['1' '47.01040548538303' 'marauded']
 ['1' '52.281001864959784' 'present']
 ['1' '64.05676648147514' 'present']
 ['1' '64.59356227542301' 'present']
 ['1' '67.94564978824641' 'present']
 ['1' '71.06925408360986' 'present']
 ['1' '78.04188818878416' 'present']
 ['1' '81.43914955419625' 'present']
 ['1' '89.49013349627018' 'present']
 ['1' '101.56565872794302' 'marauded']
 ['1' '109.94061968925067' 'present']
 ['1' '116.03112178881592' 'present']
 ['1' '121.02070466232321' 'present']
 ['1' '121.85178907757835' 'present']
 ['1' '123.82752016281503' 'present']
 ['1' '132.8554088399398' 'present']
 ['1' '134.71020551088662' 'present']
 ['1' '142.1140832239034' 'marauded']
 ['1' '143.60329963039223' 'destroyed']
 ['1' '179.36278679482595' 'marauded']
 ['1' '193.3437195614771' 'present']
 ['1' '194.12792638866554' 'present']
 ['1' '194.8231422163352' 'present']
 ['1' '195.69254764741967' 'present']
 ['1' '201.5857517101466' 'present']
 ['1' '202.61550774498235' 'present']
 ['1' '211.91685633248844' 'marauded']
 ['1' '215.65425489959108' 'present']
 ['1' '223.52568426907553' 'present']
 ['1' '229.85057503409166' 'present']
 ['1' '231.17691736404575' 'present']
 ['1' '232.49587275360997' 'present']
 ['1' '238.78152189649816' 'present']
 ['1' '239.3702416089393' 'present']
 ['1' '239.92042581717675' 'present']
 ['1' '261.818395422345' 'present']
 ['1' '274.18487003323503' 'present']
 ['1' '275.6423930478598' 'present']
 ['1' '320.8432720950304' 'present']
 ['1' '324.5569824274115' 'present']
 ['1' '335.510706042427' 'present']
 ['1' '336.64768586396673' 'marauded']
 ['1' '337.71319799005676' 'presentdestroyed']
 ['1' '349.72021294261816' 'present']]","[['F13' '45.69080314329181' 'mated']
 ['F6' '48.6660966635504' 'destroyed']
 ['F6' '72.71239295984668' 'mated']
 ['F1' '83.03743229123083' 'mated']
 ['F3' '120.37834414650848' 'mated']
 ['F7' '144.71045118406886' 'mated']
 ['F11' '158.82231930463723' 'mated']
 ['F8' '163.91847604586465' 'mated']
 ['F5' '253.46809049786896' 'mated']
 ['F14' '308.1576149865018' 'absent']
 ['F2' '332.9096545978327' 'mated']]",0.027,1.5,1e3
1,0.027,9,74.17636182743021,282.6829824403562,0,9,0.8999999999999999,2.268518518518518,2,D_pmar=0.027_dim=1000_repair_1.5,[],"[['F12' '40.69120390832279' 'mated']
 ['F6' '60.68924481169854' 'absent']
 ['F16' '87.4230460118281' 'mated']
 ['F0' '91.19998966728389' 'mated']
 ['F10' '107.59456161627448' 'mated']
 ['F9' '131.93579139553484' 'mated']
 ['F17' '165.00721095897632' 'mated']
 ['F14' '320.18076313464996' 'mated']
 ['F15' '324.2991230355351' 'mated']
 ['F4' '371.5147501162815' 'mated']]",0.027,1.5,1e3
0,0,9,71.18297669030888,281.139039934043,7.729014520531535,0,0,0,3,D_pmar=0.027_dim=1000_repair_1.5,"[['1' '1.3823815936013408' 'present']
 ['1' '1.6351271080645413' 'present']
 ['1' '3.2493999919426' 'present']
 ['1' '4.9538829334203225' 'present']
 ['1' '14.074211015777585' 'present']
 ['1' '14.687353982158964' 'present']
 ['1' '21.60680452391674' 'present']
 ['1' '24.068796981611776' 'present']
 ['1' '33.30432772663989' 'present']
 ['1' '34.57256250552178' 'present']
 ['1' '40.11445710247684' 'present']
 ['1' '42.33991781540439' 'present']
 ['1' '46.9802120220123' 'present']
 ['1' '53.48366258406623' 'present']
 ['1' '87.67169367561657' 'present']
 ['1' '96.53888952336231' 'present']
 ['1' '109.63792175053247' 'present']
 ['1' '121.26437033266913' 'present']
 ['1' '123.80353926221146' 'marauded']
 ['1' '126.60832178776226' 'marauded']
 ['1' '149.78152363757258' 'marauded']
 ['1' '150.67868503959997' 'presentdestroyed']
 ['1' '156.66654010382436' 'present']
 ['1' '166.1742419890359' 'present']
 ['1' '201.47362878332174' 'present']
 ['1' '204.07964355549743' 'present']
 ['1' '204.552613242942' 'present']
 ['1' '206.89412590278232' 'present']
 ['1' '213.7196579092325' 'present']
 ['1' '226.53528725974462' 'marauded']
 ['1' '234.88887395402247' 'present']
 ['1' '263.27901401705753' 'present']
 ['1' '281.15232631299045' 'present']
 ['1' '304.89935489939063' 'present']
 ['1' '313.3656241168665' 'present']
 ['1' '317.4131462895339' 'present']
 ['1' '318.55287598315937' 'marauded']
 ['1' '332.17875248938014' 'present']
 ['1' '338.25077223751236' 'present']
 ['1' '340.0502871701677' 'present']
 ['1' '359.64789880735606' 'present']]","[['F2' '114.48645874889894' 'mated']
 ['F12' '131.0347107768322' 'absent']
 ['F6' '148.75359917398174' 'mated']
 ['F0' '171.31322668624347' 'mated']
 ['F9' '181.20304994739863' 'mated']
 ['F7' '185.49052983470634' 'mated']
 ['F11' '213.6863980282477' 'mated']
 ['F17' '215.37994344396247' 'mated']
 ['F10' '229.76680904480935' 'absent']
 ['F13' '251.39912887725094' 'mated']
 ['F8' '303.71419826270693' 'mated']
 ['F14' '304.67021703100045' 'absent']
 ['F1' '313.5979617596066' 'absent']]",0.027,1.5,1e3
1,0.027,9,68.84088748327976,288.90413845122305,0,5,0.5,1.8981481481481477,3,D_pmar=0.027_dim=1000_repair_1.5,[],"[['F16' '54.727168512047534' 'mated']
 ['F3' '92.15859034693267' 'mated']
 ['F6' '136.7304510258336' 'absent']
 ['F12' '143.05785892498037' 'mated']
 ['F4' '153.07565227721176' 'mated']
 ['F5' '209.8963320729405' 'mated']
 ['F13' '239.3759807291028' 'absent']
 ['F10' '241.7899571929575' 'mated']
 ['F15' '249.5875803637109' 'mated']
 ['F8' '291.6910501145588' 'absent']
 ['F14' '316.6933651791486' 'mated']
 ['F1' '325.62110990775477' 'mated']]",0.027,1.5,1e3
0,0,8,70.31071540385956,275.31970198128903,14.475818445744222,0,0,0,4,D_pmar=0.027_dim=1000_repair_1.5,"[['1' '5.989987343845867' 'present']
 ['1' '6.504354427759646' 'present']
 ['1' '11.274455884415634' 'present']
 ['1' '13.43509488564688' 'present']
 ['1' '21.662807166661167' 'present']
 ['1' '25.850236286467403' 'present']
 ['1' '26.956134579128513' 'present']
 ['1' '42.322890344668814' 'marauded']
 ['1' '69.70584145421795' 'marauded']
 ['1' '81.29270286300523' 'present']
 ['1' '87.05631480876572' 'marauded']
 ['1' '97.78262807729314' 'present']
 ['1' '114.3435562412072' 'present']
 ['1' '120.6928325612674' 'present']
 ['1' '121.27446401095197' 'present']
 ['1' '125.8979771236681' 'present']
 ['1' '139.08184063783767' 'present']
 ['1' '143.66204676005776' 'present']
 ['1' '155.7681672456355' 'present']
 ['1' '156.13520079695618' 'present']
 ['1' '176.805127778267' 'marauded']
 ['1' '198.35728735122984' 'present']
 ['1' '205.5903722838323' 'present']
 ['1' '208.70187197114814' 'present']
 ['1' '224.55820454493616' 'marauded']
 ['1' '226.18683567412629' 'presentdestroyed']
 ['1' '234.83416642910356' 'marauded']
 ['1' '253.01842524034632' 'present']
 ['1' '282.84638075501056' 'marauded']
 ['1' '286.18263696917296' 'present']
 ['1' '298.9587863106651' 'present']
 ['1' '305.6012288734451' 'marauded']
 ['1' '305.74752516974144' 'presentdestroyed']
 ['1' '310.8476934583953' 'present']
 ['1' '328.7728271884408' 'marauded']
 ['1' '330.7731033824346' 'present']
 ['1' '336.0853031156035' 'present']
 ['1' '346.45213366482096' 'present']]","[['F11' '61.44240739944524' 'mated']
 ['F2' '68.14964405581853' 'mated']
 ['F10' '134.64740071448335' 'mated']
 ['F7' '162.95773731405362' 'mated']
 ['F8' '175.75777131203176' 'mated']
 ['F1' '186.13447997066552' 'mated']
 ['F4' '206.02904556819294' 'mated']
 ['F17' '210.88600157064263' 'absent']
 ['F0' '308.9594734098508' 'mated']]",0.027,1.5,1e3
1,0.027,10,70.3481412352824,287.1904028299435,0,9,0.8999999999999999,1.7592592592592589,4,D_pmar=0.027_dim=1000_repair_1.5,[],"[['F15' '80.48537385710004' 'mated']
 ['F10' '122.62425256633519' 'absent']
 ['F16' '126.67966703794714' 'mated']
 ['F14' '140.98706915440576' 'mated']
 ['F3' '150.18196626052492' 'mated']
 ['F6' '151.17603609355223' 'mated']
 ['F8' '163.7346231638836' 'absent']
 ['F1' '174.11133182251737' 'absent']
 ['F12' '182.80249167017823' 'mated']
 ['F17' '222.9091497187908' 'mated']
 ['F5' '231.93022966042906' 'mated']
 ['F13' '246.1553962889638' 'mated']
 ['F9' '291.8294810374551' 'mated']]",0.027,1.5,1e3
