id,probability_maraud,successful_mating,foraging_hrs,staying_hrs,repairing_hrs,marauding_events,marauding_hrs,traveling_hrs,rnd_seed,directory,mar_attempts,mate_attempts,strategy,repair,dimension
0,0,6,68.86174436729722,248.07085873324723,43.1531498632615,0,0,0,0,D_pmar=0.027_dim=100_repair_6,"[['1' '2.789777692423395' 'present']
 ['1' '3.933187116036021' 'present']
 ['1' '15.48075589365863' 'present']
 ['1' '23.209665943103598' 'marauded']
 ['1' '66.42294119692502' 'present']
 ['1' '67.08212110319056' 'present']
 ['1' '71.86334632245634' 'present']
 ['1' '77.8376400001109' 'present']
 ['1' '80.33394702723524' 'present']
 ['1' '87.60383727116464' 'present']
 ['1' '94.65803691096274' 'present']
 ['1' '97.88623581165112' 'present']
 ['1' '99.874840192068' 'marauded']
 ['1' '105.33338748532297' 'presentdestroyed']
 ['1' '105.64795427070102' 'presentdestroyed']
 ['1' '121.06848055268387' 'marauded']
 ['1' '122.12509201859028' 'presentdestroyed']
 ['1' '122.41736008536604' 'presentdestroyed']
 ['1' '130.15222560900148' 'present']
 ['1' '134.00851331950955' 'present']
 ['1' '141.57074924296865' 'present']
 ['1' '152.72419983190218' 'present']
 ['1' '159.98199994804858' 'present']
 ['1' '171.6665877059486' 'present']
 ['1' '197.5712413012261' 'present']
 ['1' '207.6282185046792' 'present']
 ['1' '213.21479733768342' 'present']
 ['1' '219.09947227840846' 'marauded']
 ['1' '219.20410190803807' 'presentdestroyed']
 ['1' '219.3601666157392' 'presentdestroyed']
 ['1' '219.53383117900538' 'presentdestroyed']
 ['1' '223.95994767226637' 'presentdestroyed']
 ['1' '224.018047679328' 'presentdestroyed']
 ['1' '232.07467665778276' 'present']
 ['1' '236.7466872751333' 'present']
 ['1' '238.51169800232137' 'present']
 ['1' '251.86064973521815' 'marauded']
 ['1' '252.57790542347493' 'destroyed']
 ['1' '272.42877129496037' 'present']
 ['1' '288.3159648439467' 'marauded']
 ['1' '288.6039414093611' 'presentdestroyed']
 ['1' '289.64637005285067' 'presentdestroyed']
 ['1' '292.2079606174301' 'presentdestroyed']
 ['1' '302.71098242571395' 'marauded']
 ['1' '303.0194599778708' 'presentdestroyed']
 ['1' '311.11966714829936' 'present']
 ['1' '314.828791877543' 'present']
 ['1' '314.8438370119444' 'present']
 ['1' '315.89337613936027' 'present']
 ['1' '324.7106029391107' 'present']
 ['1' '327.77235918835646' 'present']
 ['1' '336.25222557640274' 'present']
 ['1' '350.8630667496549' 'present']]","[['F1' '105.89658456813775' 'destroyed']
 ['F14' '125.36180633096295' 'destroyed']
 ['F1' '129.9012141977674' 'absent']
 ['F1' '153.905843827397' 'mated']
 ['F6' '159.17383636284333' 'mated']
 ['F10' '166.01304113006785' 'mated']
 ['F12' '167.93541307433466' 'mated']
 ['F3' '192.4824393915614' 'mated']
 ['F0' '225.39868211353124' 'destroyed']
 ['F2' '274.4970236133541' 'mated']]",0.027,6,100
1,0.027,12,72.835415282894445,286.4105442694943,0,7,0.7,0.2453703703703701,0,D_pmar=0.027_dim=100_repair_6,[],"[['F7' '62.07291667920794' 'mated']
 ['F8' '72.75629499570391' 'mated']
 ['F9' '86.18548068040893' 'mated']
 ['F1' '117.89889938295256' 'absent']
 ['F17' '122.3859818627526' 'mated']
 ['F5' '124.52536744397162' 'mated']
 ['F11' '127.1443729950281' 'mated']
 ['F14' '137.36412114577774' 'mated']
 ['F1' '141.9035290125822' 'absent']
 ['F16' '175.73738445383822' 'mated']
 ['F15' '226.16901746954653' 'mated']
 ['F0' '237.40099692834605' 'mated']
 ['F4' '252.55401666041777' 'mated']
 ['F2' '262.49470879853925' 'absent']
 ['F13' '302.9199274852537' 'mated']]",0.027,6,100
0,0,9,70.02706661161393,259.50030481683854,30.545453610769655,0,0,0,1,D_pmar=0.027_dim=100_repair_6,"[['1' '0.8867840542124116' 'present']
 ['1' '1.6187139660214809' 'present']
 ['1' '6.308350523771735' 'marauded']
 ['1' '11.172193790474937' 'presentdestroyed']
 ['1' '16.310821419013777' 'present']
 ['1' '16.315451048643403' 'present']
 ['1' '42.90085548430014' 'present']
 ['1' '47.701728732396965' 'present']
 ['1' '54.957706603670275' 'present']
 ['1' '60.0491635280958' 'present']
 ['1' '65.46473484594254' 'marauded']
 ['1' '77.33122053830782' 'present']
 ['1' '93.98132485375135' 'present']
 ['1' '114.66246033815712' 'present']
 ['1' '130.39139476102844' 'present']
 ['1' '135.5960936661145' 'marauded']
 ['1' '142.41552788884405' 'presentdestroyed']
 ['1' '146.8848032979738' 'present']
 ['1' '155.21377388960343' 'present']
 ['1' '188.6267599166101' 'present']
 ['1' '198.34475884376718' 'present']
 ['1' '199.48947641439565' 'present']
 ['1' '224.15991695558796' 'present']
 ['1' '227.61215856878746' 'present']
 ['1' '238.44207102720367' 'present']
 ['1' '240.70663832786548' 'present']
 ['1' '244.28446119595154' 'present']
 ['1' '245.45943164244042' 'present']
 ['1' '262.7012628398585' 'present']
 ['1' '264.4560736864359' 'present']
 ['1' '268.64081972907326' 'present']
 ['1' '274.9368873809178' 'marauded']
 ['1' '275.3263493913049' 'presentdestroyed']
 ['1' '279.50938714484346' 'destroyed']
 ['1' '280.7408578031251' 'presentdestroyed']
 ['1' '294.6115083369449' 'present']
 ['1' '310.7324345099178' 'present']
 ['1' '314.99414024878996' 'present']
 ['1' '316.09251112583644' 'marauded']
 ['1' '318.0702875332' 'presentdestroyed']
 ['1' '332.592676376576' 'present']
 ['1' '349.8404400913895' 'present']
 ['1' '355.61162576312967' 'present']]","[['F6' '53.931076934063334' 'mated']
 ['F8' '95.39393130146136' 'mated']
 ['F17' '118.82562782435375' 'mated']
 ['F0' '125.0483929544996' 'mated']
 ['F2' '129.0555750228066' 'mated']
 ['F3' '166.6349420159224' 'mated']
 ['F15' '199.4391565263709' 'mated']
 ['F11' '217.57666044638475' 'mated']
 ['F9' '264.717351306609' 'absent']
 ['F10' '292.5511352888256' 'mated']
 ['F4' '322.75574873521236' 'absentdestroyed']]",0.027,6,100
1,0.027,9,70.48817180109019,288.9343540918499,0,5,0.5,0.19907407407407388,1,D_pmar=0.027_dim=100_repair_6,[],"[['F6' '41.92876211924852' 'absent']
 ['F13' '61.6406369224263' 'mated']
 ['F5' '61.99654409725492' 'mated']
 ['F7' '107.661069552419' 'mated']
 ['F12' '118.5808838660505' 'mated']
 ['F1' '141.02683541819894' 'mated']
 ['F16' '150.63884090210462' 'mated']
 ['F14' '169.97409875587581' 'mated']
 ['F9' '276.7196661214238' 'mated']
 ['F4' '334.7580635500272' 'mated']]",0.027,6,100
0,0,10,70.97001083503343,240.76123648386204,48.62022322305456,0,0,0,2,D_pmar=0.027_dim=100_repair_6,"[['1' '1.9553035168833353' 'marauded']
 ['1' '11.373661086374815' 'present']
 ['1' '12.736815628569643' 'present']
 ['1' '33.23244970833687' 'present']
 ['1' '37.6334418112374' 'marauded']
 ['1' '40.5312635463868' 'presentdestroyed']
 ['1' '41.13465375290169' 'presentdestroyed']
 ['1' '50.45513951733315' 'present']
 ['1' '51.21697182310453' 'present']
 ['1' '53.25196658926495' 'present']
 ['1' '62.87451397191029' 'present']
 ['1' '69.50040755140743' 'present']
 ['1' '78.74041552186178' 'present']
 ['1' '87.05942993251979' 'present']
 ['1' '100.35833935583064' 'present']
 ['1' '105.67319960485014' 'present']
 ['1' '116.19980908770042' 'present']
 ['1' '119.06750268371188' 'marauded']
 ['1' '139.43636751525537' 'present']
 ['1' '148.12450161137525' 'present']
 ['1' '150.11015411556713' 'present']
 ['1' '172.97905893340453' 'present']
 ['1' '185.9719618899194' 'marauded']
 ['1' '186.83857541677625' 'presentdestroyed']
 ['1' '191.22364657346228' 'presentdestroyed']
 ['1' '199.70120619380475' 'present']
 ['1' '204.71628470211746' 'present']
 ['1' '221.9465562997974' 'present']
 ['1' '230.67529026549278' 'present']
 ['1' '234.07260611387528' 'marauded']
 ['1' '241.81973894322869' 'present']
 ['1' '242.59308869651935' 'present']
 ['1' '253.54080762863748' 'present']
 ['1' '260.0300630561191' 'present']
 ['1' '271.5834150151264' 'marauded']
 ['1' '272.20074218439004' 'presentdestroyed']
 ['1' '291.89622695642055' 'present']
 ['1' '310.03830971617964' 'marauded']
 ['1' '313.04958435816724' 'presentdestroyed']
 ['1' '314.5422359064364' 'presentdestroyed']
 ['1' '319.3725350875585' 'present']
 ['1' '325.9105894950325' 'present']
 ['1' '350.9541945664232' 'marauded']
 ['1' '353.396832657919' 'destroyed']
 ['1' '359.799752204399' 'present']]","[['F12' '62.4484609766368' 'mated']
 ['F14' '93.19188475786618' 'mated']
 ['F15' '93.99112134027921' 'mated']
 ['F8' '129.48513041495363' 'mated']
 ['F13' '137.98276123655316' 'mated']
 ['F9' '195.50576711763665' 'mated']
 ['F10' '226.54967617888482' 'mated']
 ['F16' '254.2267214637173' 'mated']
 ['F17' '254.75860939107005' 'mated']
 ['F1' '326.74799706735695' 'mated']]",0.027,6,100
1,0.027,8,66.25890970270066,292.795398381968,0,8,0.7999999999999999,0.20833333333333312,2,D_pmar=0.027_dim=100_repair_6,[],"[['F5' '29.74849377294277' 'mated']
 ['F4' '158.97453166255207' 'mated']
 ['F2' '166.1276506661925' 'mated']
 ['F0' '168.2344295996674' 'mated']
 ['F11' '194.17073132477344' 'mated']
 ['F7' '201.64220788036025' 'mated']
 ['F6' '207.29122693470154' 'mated']
 ['F16' '242.2244066489025' 'absent']
 ['F3' '298.3133307416335' 'mated']]",0.027,6,100
0,0,11,70.31369099851618,231.8379936512356,57.934884000759,0,0,0,3,D_pmar=0.027_dim=100_repair_6,"[['1' '8.044922083284984' 'marauded']
 ['1' '10.836338699920617' 'destroyed']
 ['1' '20.520407243272814' 'present']
 ['1' '39.62869923327053' 'present']
 ['1' '45.57222092592659' 'present']
 ['1' '48.36192567064565' 'marauded']
 ['1' '49.90697056054343' 'presentdestroyed']
 ['1' '50.97506829932672' 'presentdestroyed']
 ['1' '53.4135521763402' 'presentdestroyed']
 ['1' '54.268407404831514' 'destroyed']
 ['1' '58.142271813645685' 'marauded']
 ['1' '61.29430064369956' 'presentdestroyed']
 ['1' '77.13042004234586' 'present']
 ['1' '94.81652559280273' 'present']
 ['1' '96.73686620420067' 'present']
 ['1' '97.20326479814062' 'present']
 ['1' '97.69976521695477' 'present']
 ['1' '98.12954126479377' 'present']
 ['1' '117.44005740018828' 'marauded']
 ['1' '118.13854310959144' 'presentdestroyed']
 ['1' '126.00107462345844' 'marauded']
 ['1' '132.44207512471937' 'destroyed']
 ['1' '141.55663516820422' 'present']
 ['1' '142.6602046230054' 'present']
 ['1' '173.29652483403024' 'present']
 ['1' '176.18651078934377' 'marauded']
 ['1' '192.18249273021414' 'present']
 ['1' '204.84826913909183' 'present']
 ['1' '226.0569770098481' 'present']
 ['1' '231.24332958241413' 'marauded']
 ['1' '243.93310452854345' 'present']
 ['1' '252.80801349761205' 'present']
 ['1' '257.0801118198215' 'present']
 ['1' '259.4017879236378' 'present']
 ['1' '277.78819624528836' 'present']
 ['1' '285.00148922107445' 'present']
 ['1' '290.1681053162576' 'present']
 ['1' '293.516355880556' 'present']
 ['1' '301.0648072873096' 'present']
 ['1' '301.1760649016893' 'marauded']
 ['1' '301.280694531319' 'destroyed']
 ['1' '301.6343363219144' 'presentdestroyed']
 ['1' '323.30085719639555' 'present']
 ['1' '335.5401838630564' 'marauded']
 ['1' '336.51156159395543' 'presentdestroyed']
 ['1' '340.85188886713007' 'presentdestroyed']
 ['1' '346.592188071199' 'present']
 ['1' '356.5697735537749' 'marauded']]","[['F7' '96.11747983051195' 'mated']
 ['F12' '129.43712740557908' 'destroyed']
 ['F11' '154.63305954435842' 'mated']
 ['F8' '168.83550970603804' 'mated']
 ['F15' '169.12651807729594' 'mated']
 ['F14' '169.17246080490187' 'mated']
 ['F9' '183.991007298029' 'mated']
 ['F13' '187.18138807899425' 'absent']
 ['F3' '187.4295043936044' 'mated']
 ['F0' '193.10062555852156' 'mated']
 ['F5' '194.01639203602727' 'mated']
 ['F4' '203.8236420012357' 'mated']
 ['F1' '236.78647207244126' 'absentdestroyed']
 ['F17' '237.16962625064437' 'destroyed']
 ['F17' '261.174255880274' 'mated']]",0.027,6,100
1,0.027,7,67.92507894614276,290.88628648805576,0,10,0.9999999999999999,0.222222222222222,3,D_pmar=0.027_dim=100_repair_6,[],"[['F12' '117.43481259076428' 'absent']
 ['F12' '141.4394422203939' 'mated']
 ['F15' '157.12420326248113' 'absent']
 ['F4' '191.8213271864209' 'absent']
 ['F13' '199.18370289380906' 'mated']
 ['F16' '222.83679664974377' 'mated']
 ['F1' '248.78878688725607' 'mated']
 ['F17' '249.17194106545918' 'absent']
 ['F2' '266.1152226666578' 'mated']
 ['F6' '298.01887791088086' 'mated']
 ['F10' '308.3242412277834' 'mated']]",0.027,6,100
0,0,8,71.04518928731935,244.95152226508324,44.0803710225985,0,0,0,4,D_pmar=0.027_dim=100_repair_6,"[['1' '9.0284778539805' 'present']
 ['1' '17.243264644082572' 'present']
 ['1' '17.312424982115022' 'present']
 ['1' '18.821643362857788' 'marauded']
 ['1' '50.729441727732265' 'marauded']
 ['1' '52.02187246392667' 'destroyed']
 ['1' '85.01096129498887' 'present']
 ['1' '91.30254935855743' 'present']
 ['1' '107.38061619312208' 'present']
 ['1' '109.76960384565484' 'marauded']
 ['1' '131.87113311757054' 'marauded']
 ['1' '132.87713068992954' 'presentdestroyed']
 ['1' '134.84590840227753' 'presentdestroyed']
 ['1' '138.54479053897165' 'presentdestroyed']
 ['1' '160.61632871729935' 'present']
 ['1' '167.82805684396973' 'present']
 ['1' '180.62626672493886' 'present']
 ['1' '181.8371103057041' 'present']
 ['1' '184.18467838306495' 'present']
 ['1' '186.3843417443088' 'present']
 ['1' '196.29041504419556' 'marauded']
 ['1' '197.6303841628371' 'presentdestroyed']
 ['1' '223.0670554115264' 'marauded']
 ['1' '225.25528223237473' 'presentdestroyed']
 ['1' '226.86873070763923' 'presentdestroyed']
 ['1' '233.01915790329292' 'present']
 ['1' '245.86401494171088' 'present']
 ['1' '246.71116894607084' 'present']
 ['1' '261.23087345863684' 'present']
 ['1' '292.9977535431738' 'present']
 ['1' '298.77265294417475' 'present']
 ['1' '310.44300625273445' 'present']
 ['1' '313.9771391641542' 'present']
 ['1' '323.07783940526303' 'present']
 ['1' '326.1698178974079' 'present']
 ['1' '327.2833920057075' 'marauded']
 ['1' '329.8610084553898' 'presentdestroyed']
 ['1' '358.43516095453464' 'marauded']
 ['1' '359.40007519910205' 'presentdestroyed']]","[['F17' '44.410361013115285' 'mated']
 ['F6' '64.0270663761921' 'mated']
 ['F8' '110.35956249748128' 'destroyed']
 ['F3' '131.00079372573424' 'mated']
 ['F9' '153.3884558931719' 'absent']
 ['F0' '156.07912514279062' 'absent']
 ['F9' '177.39308552280153' 'mated']
 ['F16' '203.15797154173904' 'destroyed']
 ['F14' '205.25201959421778' 'mated']
 ['F15' '223.02279203574375' 'mated']
 ['F16' '227.16260117136866' 'destroyed']
 ['F5' '247.16069848642397' 'mated']
 ['F2' '261.7872810814314' 'absent']
 ['F12' '284.7360003571224' 'mated']]",0.027,6,100
1,0.027,10,75.05146607529252,283.97134214583963,0,8,0.7999999999999999,0.18055555555555539,4,D_pmar=0.027_dim=100_repair_6,[],"[['F11' '41.9182210571891' 'mated']
 ['F8' '98.35724768266647' 'absent']
 ['F8' '122.36187731229609' 'mated']
 ['F7' '128.87562328180056' 'mated']
 ['F1' '137.5696727560668' 'mated']
 ['F13' '138.17457696019122' 'mated']
 ['F9' '165.39077070798672' 'absent']
 ['F0' '168.08143995760543' 'mated']
 ['F16' '191.15565672692424' 'absent']
 ['F14' '193.24970477940298' 'absent']
 ['F16' '215.16028635655385' 'absent']
 ['F16' '239.16491598618347' 'mated']
 ['F10' '254.14135993082016' 'mated']
 ['F12' '272.73368554230757' 'absent']
 ['F2' '273.7895958962462' 'mated']
 ['F4' '291.5863745136747' 'mated']]",0.027,6,100
